A,B,A*B in C,D,E,D+E in C,,Expected,Difference
0,-1790,0,-20572,0,-20572,,,
0,-2063,0,-20572,0,-20572,,,
17219,-3204,-842,-20572,-842,-21414,,-842,0
65279,-2982,-2971,-21414,-2971,-24385,,-2970,1
65279,2012,2004,-24385,2004,-22381,,2004,0
48060,-229,-168,-22381,-168,-22549,,-168,0
0,4525,0,-22549,0,-22549,,,
0,1083,0,-22549,0,-22549,,,
0,141,0,-22549,0,-22549,,,
0,-3557,0,-22549,0,-22549,,,
0,-1891,0,-22549,0,-22549,,,
35981,-1103,-606,-22549,-606,-23155,,-606,0
65279,-1011,-1008,-23155,-1008,-24163,,-1007,1
65279,-535,-533,-24163,-533,-24696,,-533,0
32125,-1700,-834,-24696,-834,-25530,,-833,1
0,722,0,-25530,0,-25530,,,
0,-1163,0,-25530,0,-25530,,,
0,-195,0,-25530,0,-25530,,,
0,-2553,0,-25530,0,-25530,,,
0,670,0,-25530,0,-25530,,,
0,-1357,0,-25530,0,-25530,,,
0,538,0,-25530,0,-25530,,,
0,-766,0,-25530,0,-25530,,,
0,1833,0,-25530,0,-25530,,,
0,-1719,0,-25530,0,-25530,,,
0,-2719,0,-25530,0,-25530,,,
0,-2704,0,-25530,0,-25530,,,
0,-2854,0,-25530,0,-25530,,,
0,859,0,-25530,0,-25530,,,
0,-2451,0,-25530,0,-25530,,,
58597,-1911,-1709,-25530,-1709,-27239,,-1709,0
65279,-519,-517,-27239,-517,-27756,,-517,0
65279,895,891,-27756,891,-26865,,891,0
16191,2914,719,-26865,719,-26146,,720,1
0,3921,0,-26146,0,-26146,,,
0,-658,0,-26146,0,-26146,,,
0,-2211,0,-26146,0,-26146,,,
0,-467,0,-26146,0,-26146,,,
0,600,0,-26146,0,-26146,,,
62966,306,294,-26146,294,-25852,,294,0
65279,548,545,-25852,545,-25307,,546,1
60396,1729,1593,-25307,1593,-23714,,1593,0
11565,1506,265,-23714,265,-23449,,266,1
0,-3024,0,-23449,0,-23449,,,
0,189,0,-23449,0,-23449,,,
0,1149,0,-23449,0,-23449,,,
0,-2557,0,-23449,0,-23449,,,
0,-1967,0,-23449,0,-23449,,,
0,-1560,0,-23449,0,-23449,,,
0,-2313,0,-23449,0,-23449,,,
0,-1513,0,-23449,0,-23449,,,
0,-961,0,-23449,0,-23449,,,
0,729,0,-23449,0,-23449,,,
0,-1607,0,-23449,0,-23449,,,
0,-2177,0,-23449,0,-23449,,,
0,129,0,-23449,0,-23449,,,
0,336,0,-23449,0,-23449,,,
25957,1587,628,-23449,628,-22821,,629,1
63737,-1260,-1226,-22821,-1226,-24047,,-1225,1
65279,2871,2859,-24047,2859,-21188,,2860,1
48060,2991,2193,-21188,2193,-18995,,2193,0
1285,3635,71,-18995,71,-18924,,71,0
0,-481,0,-18924,0,-18924,,,
0,-340,0,-18924,0,-18924,,,
0,-2161,0,-18924,0,-18924,,,
0,-477,0,-18924,0,-18924,,,
8738,-1268,-170,-18924,-170,-19094,,-169,1
63737,-2089,-2032,-19094,-2032,-21126,,-2032,0
65279,-1507,-1502,-21126,-1502,-22628,,-1501,1
38808,-1366,-809,-22628,-809,-23437,,-809,0
0,-1592,0,-23437,0,-23437,,,
0,-1017,0,-23437,0,-23437,,,
0,-2021,0,-23437,0,-23437,,,
0,1400,0,-23437,0,-23437,,,
0,-896,0,-23437,0,-23437,,,
0,851,0,-23437,0,-23437,,,
0,-180,0,-23437,0,-23437,,,
0,-1618,0,-23437,0,-23437,,,
0,-1630,0,-23437,0,-23437,,,
0,-1583,0,-23437,0,-23437,,,
0,-1253,0,-23437,0,-23437,,,
0,1363,0,-23437,0,-23437,,,
0,-1733,0,-23437,0,-23437,,,
0,-350,0,-23437,0,-23437,,,
10537,-1937,-312,-23437,-312,-23749,,-311,1
63994,-693,-677,-23749,-677,-24426,,-677,0
65279,834,830,-24426,830,-23596,,831,1
64508,1814,1785,-23596,1785,-21811,,1786,1
16448,-538,-136,-21811,-136,-21947,,-135,1
0,2888,0,-21947,0,-21947,,,
0,-1142,0,-21947,0,-21947,,,
0,819,0,-21947,0,-21947,,,
0,-3380,0,-21947,0,-21947,,,
0,-1108,0,-21947,0,-21947,,,
25443,1486,576,-21947,576,-21371,,577,1
65279,-1891,-1884,-21371,-1884,-23255,,-1884,0
65279,-1386,-1381,-23255,-1381,-24636,,-1381,0
38808,225,133,-24636,133,-24503,,133,0
0,1304,0,-24503,0,-24503,,,
0,-2255,0,-24503,0,-24503,,,
0,-419,0,-24503,0,-24503,,,
0,-884,0,-24503,0,-24503,,,
0,-2521,0,-24503,0,-24503,,,
0,-2360,0,-24503,0,-24503,,,
0,-1863,0,-24503,0,-24503,,,
0,743,0,-24503,0,-24503,,,
0,599,0,-24503,0,-24503,,,
0,1783,0,-24503,0,-24503,,,
0,-822,0,-24503,0,-24503,,,
0,-1876,0,-24503,0,-24503,,,
0,1052,0,-24503,0,-24503,,,
514,1671,13,-24503,13,-24490,,13,0
34696,-546,-290,-24490,-290,-24780,,-289,1
65279,1936,1928,-24780,1928,-22852,,1928,0
65279,2111,2102,-22852,2102,-20750,,2103,1
34953,-123,-66,-20750,-66,-20816,,-66,0
0,2337,0,-20816,0,-20816,,,
0,-1933,0,-20816,0,-20816,,,
0,421,0,-20816,0,-20816,,,
0,-3100,0,-20816,0,-20816,,,
0,1190,0,-20816,0,-20816,,,
0,-1641,0,-20816,0,-20816,,,
25443,-336,-131,-20816,-131,-20947,,-130,1
65279,189,188,-20947,188,-20759,,188,0
65279,-1655,-1649,-20759,-1649,-22408,,-1649,0
32897,-1275,-641,-22408,-641,-23049,,-640,1
0,-152,0,-23049,0,-23049,,,
0,2355,0,-23049,0,-23049,,,
0,2370,0,-23049,0,-23049,,,
0,550,0,-23049,0,-23049,,,
0,148,0,-23049,0,-23049,,,
0,-827,0,-23049,0,-23049,,,
0,-2128,0,-23049,0,-23049,,,
0,-292,0,-23049,0,-23049,,,
0,595,0,-23049,0,-23049,,,
0,-2005,0,-23049,0,-23049,,,
0,-893,0,-23049,0,-23049,,,
0,682,0,-23049,0,-23049,,,
0,245,0,-23049,0,-23049,,,
23644,-1781,-643,-23049,-643,-23692,,-643,0
65279,-1495,-1490,-23692,-1490,-25182,,-1489,1
65279,-941,-938,-25182,-938,-26120,,-937,1
64508,1379,1357,-26120,1357,-24763,,1357,0
15934,-801,-195,-24763,-195,-24958,,-195,0
0,2159,0,-24958,0,-24958,,,
0,-497,0,-24958,0,-24958,,,
0,-2590,0,-24958,0,-24958,,,
0,-2813,0,-24958,0,-24958,,,
0,-671,0,-24958,0,-24958,,,
0,293,0,-24958,0,-24958,,,
47289,-424,-306,-24958,-306,-25264,,-306,0
65279,1784,1777,-25264,1777,-23487,,1777,0
65279,534,531,-23487,531,-22956,,532,1
11051,-1688,-285,-22956,-285,-23241,,-285,0
0,-23,0,-23241,0,-23241,,,
0,979,0,-23241,0,-23241,,,
0,2464,0,-23241,0,-23241,,,
